rule_id,dimension,target_table,severity,description,rows_checked,rows_failed,failure_pct,passed,checked_at
DQ001_guest_contact_present,completeness,mart.dim_guest,warning,Every guest should be reachable on at least one channel.,9360,570,6.0897,False,2026-08-12 16:50:02.944353+00:00
DQ002_booking_channel_present,completeness,mart.fact_booking,error,Revenue cannot be attributed without a channel.,5228,0,0.0000,True,2026-08-12 16:50:02.944353+00:00
DQ003_review_rating_present,completeness,mart.fact_review,warning,A review without a rating cannot contribute to CSAT.,951,5,0.5258,True,2026-08-12 16:50:02.944353+00:00
DQ004_unit_night_has_property,completeness,mart.fact_unit_night,error,Every unit-night must roll up to a property.,18350,0,0.0000,True,2026-08-12 16:50:02.944353+00:00
DQ010_duplicate_bookings,uniqueness,mart.fact_booking,error,"The same guest, unit and arrival date appearing more than once is an OTA sync double-submit, not two reservations.",5228,56,1.0712,False,2026-08-12 16:50:02.944353+00:00
DQ011_duplicate_guest_identity,uniqueness,mart.dim_guest,warning,Two guest records sharing a normalised phone number are the same person. Repeat-guest rate is understated until they are resolved.,9360,337,3.6004,False,2026-08-12 16:50:02.944353+00:00
DQ012_unit_night_grain_unique,uniqueness,mart.fact_unit_night,error,One row per unit per night. A breach invalidates every rate metric.,18350,0,0.0000,True,2026-08-12 16:50:02.944353+00:00
DQ020_impossible_stay_dates,validity,mart.fact_booking,error,A nightly stay must depart after it arrives.,4784,13,0.2717,False,2026-08-12 16:50:02.944353+00:00
DQ021_rating_in_range,validity,mart.fact_review,error,Ratings outside 1-5 are unusable.,946,0,0.0000,True,2026-08-12 16:50:02.944353+00:00
DQ022_negative_amounts,validity,mart.fact_booking,error,Negative or zero room revenue on a live booking is invalid.,4423,0,0.0000,True,2026-08-12 16:50:02.944353+00:00
DQ023_los_plausible,validity,mart.fact_booking,error,"A serviced-apartment stay beyond 60 nights is a data error, not a guest.",4784,0,0.0000,True,2026-08-12 16:50:02.944353+00:00
DQ024_lead_time_non_negative,validity,mart.fact_booking,error,A booking cannot be made after the guest arrives.,5228,0,0.0000,True,2026-08-12 16:50:02.944353+00:00
DQ025_inventory_balance,validity,mart.fact_inventory_movement,error,Closing stock must equal opening + received - consumed - wastage.,6385,57,0.8927,False,2026-08-12 16:50:02.944353+00:00
DQ026_inventory_non_negative,validity,mart.fact_inventory_movement,warning,Stock cannot go negative.,6385,0,0.0000,True,2026-08-12 16:50:02.944353+00:00
DQ030_orphan_payment_reference,consistency,mart.fact_payment,error,"A gateway payment whose booking reference does not resolve. Left joined rather than dropped so the money is visible, not silently lost.",4498,37,0.8226,False,2026-08-12 16:50:02.944353+00:00
DQ031_payment_amount_matches_folio,accuracy,mart.fact_payment,error,Gateway gross should equal the folio net room amount. A mismatch is either a partial payment or a reconciliation break.,4461,92,2.0623,False,2026-08-12 16:50:02.944353+00:00
DQ032_cancellation_state_coherent,consistency,mart.fact_booking,error,"A cancelled booking must carry a cancellation timestamp, and vice versa. This rule is a REGRESSION GUARD, not a detector: the mart CHECK constraint ck_booking_cancel makes the incoherent state unloadable, so the correct expected result is zero. The defect can only exist upstream of the mart, which is where the constraint earns its place -- a rule that can never fire because a constraint already prevents the state is a stronger control than a rule that reports it.",5228,0,0.0000,True,2026-08-12 16:50:02.944353+00:00
DQ033_cancelled_holds_no_inventory,consistency,mart.fact_unit_night,error,A cancelled booking must not occupy any unit-night.,13610,0,0.0000,True,2026-08-12 16:50:02.944353+00:00
DQ034_departure_night_not_charged,consistency,mart.fact_unit_night,error,The half-open interval: a unit-night on or after the departure date means room-nights are inflated by roughly 1/ALOS.,13610,0,0.0000,True,2026-08-12 16:50:02.944353+00:00
DQ035_revenue_only_on_occupied,consistency,mart.fact_unit_night,error,A vacant night cannot carry room revenue.,4740,0,0.0000,True,2026-08-12 16:50:02.944353+00:00
DQ036_ooo_not_sellable,consistency,mart.fact_unit_night,error,An out-of-order unit must be removed from availability.,18350,0,0.0000,True,2026-08-12 16:50:02.944353+00:00
DQ037_sla_breach_flag_agrees,accuracy,mart.fact_service_request,error,The stored breach flag must agree with resolution time vs SLA target.,1900,0,0.0000,True,2026-08-12 16:50:02.944353+00:00
DQ038_resolution_after_creation,validity,mart.fact_service_request,error,A request cannot be resolved before it was raised.,1900,0,0.0000,True,2026-08-12 16:50:02.944353+00:00
DQ040_booking_business_date_agrees,accuracy,mart.fact_booking,error,"The stored reporting date must equal the IST business date derived from the event timestamp. Disagreement means a feed wrote a UTC date, which silently moves late-night activity to the previous day.",5228,42,0.8034,False,2026-08-12 16:50:02.944353+00:00
DQ041_request_business_date_agrees,accuracy,mart.fact_service_request,warning,Service-request reporting date must match the IST business date.,1900,0,0.0000,True,2026-08-12 16:50:02.944353+00:00
DQ050_booking_feed_fresh,timeliness,mart.fact_booking,error,"The booking feed should have delivered data recently. Measured against the dataset's own horizon, since this is a fixed synthetic period.",5228,0,0.0000,True,2026-08-12 16:50:02.944353+00:00
DQ051_no_silent_channel_gap,timeliness,mart.fact_service_request,error,"A source channel that normally delivers volume and suddenly delivers nothing is a broken integration. The table is not wrong, it is EMPTY -- so a null check passes and only a volume band catches it.",2785,19,0.6822,False,2026-08-12 16:50:02.944353+00:00
DQ060_booking_payment_reconciliation,accuracy,mart.fact_payment,warning,"Every non-cancelled booking should have a payment. A reconciliation is clean when UNEXPLAINED variance is zero, not when variance is zero.",4498,37,0.8226,True,2026-08-12 16:50:02.944353+00:00
DQ061_occupancy_within_capacity,validity,mart.fact_unit_night,error,Rooms sold can never exceed rooms available on any night.,1278,0,0.0000,True,2026-08-12 16:50:02.944353+00:00
