metric_key,display_name,business_definition,formula_text,grain,date_basis,unit,revenue_basis,owner_team,caveats
occupancy_pct,Occupancy %,Share of sellable unit-nights that were actually occupied. The operational basis: units that cannot be sold are not counted as missed sales.,Rooms Sold / Rooms Available x 100,property x stay_date,stay_date,percent,not_applicable,Revenue,Differs from occupancy_pct_benchmark by the share of inventory out of order. Report the basis alongside the number or the two figures will be read as an error.
occupancy_pct_benchmark,Occupancy % (benchmark basis),"Occupancy against full physical inventory, the basis used for STR-style external comparison.",Rooms Sold / Physical Unit-Nights x 100,property x stay_date,stay_date,percent,not_applicable,Revenue,Always lower than the operational basis. Deliberately published alongside it so the gap is visible rather than surprising.
adr_inr,ADR,"Average Daily Rate: net room revenue per occupied unit-night, excluding tax.",Net Room Revenue / Rooms Sold,property x stay_date,stay_date,inr,net_of_tax,Revenue,"Includes hourly microstays, which bill at roughly 28% of a nightly rate and pull ADR down. adr_excl_microstay_inr is published alongside for that reason."
adr_excl_microstay_inr,ADR (excluding microstays),"ADR over nightly stays only, excluding hourly microstay inventory.",Net Room Revenue (nightly) / Rooms Sold (nightly),property x stay_date,stay_date,inr,net_of_tax,Revenue,The honest comparison figure when benchmarking against nightly-only operators.
revpar_inr,RevPAR,Revenue per Available Room-night: the single number that reflects both rate and volume.,Net Room Revenue / Rooms Available  ==  ADR x Occupancy,property x stay_date,stay_date,inr,net_of_tax,Revenue,"RevPAR = ADR x Occupancy holds exactly ONLY because all three read the same table and the same denominator. Asserted in tests. RevPAR is also indifferent between 100% at INR 3,000 and 60% at INR 5,000, which have very different cost per occupied unit -- do not optimise it alone."
room_revenue_net_inr,Net Room Revenue,"Room revenue net of GST and net of discount, before OTA commission.","SUM(room revenue, net of tax)",property x stay_date,stay_date,inr,net_of_tax,Revenue,"Recognised on STAY DATE, not booking or payment date. Marketing reporting on booking date and Finance on payment date will legitimately produce different totals for the same month."
room_revenue_gross_inr,Gross Room Revenue (incl GST),"What the guest actually paid, including GST at the rate applicable to that stay date and nightly rate.",Net Room Revenue x (1 + GST%),property x stay_date,stay_date,inr,gross_incl_tax,Finance,"Spans the 22 Sep 2025 GST change (12% slab abolished; 5% no-ITC at or below INR 7,500, 18% with ITC above). An apparent step in gross revenue across that date is a TAX artefact, not performance -- which is why the net measure is the one used for rate metrics."
cancellation_rate_pct,Cancellation Rate,Share of bookings made in the period that were subsequently cancelled.,Cancelled Bookings / Bookings Made x 100,booking,booking_date,percent,not_applicable,Revenue,"Deliberately measured on cohort basis -- cancellations OF bookings made in the period -- not cancellations occurring in the period. The two give materially different numbers and answer different questions: cohort basis measures booking quality, event basis measures this period's revenue loss. State which one you mean."
channel_mix_pct,Channel Mix,Share of room-nights sold through each distribution channel.,Room-nights per channel / Total room-nights x 100,channel x stay_date,stay_date,percent,not_applicable,Revenue,"Measured on room-nights, not booking count: corporate books longer stays, so a booking-count mix overstates OTA share."
avg_lead_time_days,Average Booking Lead Time,Mean days between booking and arrival. Short lead times leave less room to reprice.,AVG(check_in_date - booking_date),booking,booking_date,days,not_applicable,Revenue,"Indian booking windows run 7-21 days against a ~40-day global average, so pickup analysis here should use 0/1/3/7/14-day windows rather than the textbook 30/60/90."
alos_nights,Average Length of Stay,Mean nights per nightly reservation.,Total Room-Nights / Nightly Bookings,booking,stay_date,nights,not_applicable,Revenue,Uses the half-open interval: departure night is not a night. Counting it inflates ALOS by 1 and room-nights by roughly 1/ALOS.
service_tat_minutes,Service Turnaround Time,Wall-clock minutes from a guest raising a request to its resolution.,AVG(resolved_at - created_at),service request,request_date,minutes,not_applicable,Operations,"WALL-CLOCK, not business hours. These are 24-hour serviced apartments and a guest waiting at 02:00 is still waiting. A business-hours clock would report this as excellent."
sla_breach_rate_pct,SLA Breach Rate,Share of resolved requests that exceeded the target resolution time for their request type.,Breached Requests / Resolved Requests x 100,service request,request_date,percent,not_applicable,Operations,The blended rate hides property- and daypart-level failure. A 0.9pp portfolio move concealed a 2.6x degradation at one property in one shift. Always segment before concluding.
csat_avg,CSAT,"Mean guest satisfaction score on resolved service requests, 1-5.",AVG(csat_score),service request,request_date,score,not_applicable,Customer Experience,"Response rate is roughly a third, so CSAT carries selection bias: guests who respond are not a random sample. Report the response rate next to the score."
repeat_guest_rate_pct,Repeat Guest Rate,"Share of guests with two or more completed stays, after deterministic identity resolution.",Guests with >=2 stays / Total guests x 100,guest,stay_date,percent,not_applicable,Customer Experience,Published on the RESOLVED basis. The raw basis understates loyalty because duplicate profiles split one guest into several; mart.v_guest_repeat exposes both so the size of that understatement is visible.
cost_per_booking_inr,Cost per Booking,Directly attributable acquisition and processing cost per confirmed booking: OTA commission plus payment gateway fees and the GST charged on both.,(Commission + Gateway Fee + GST on fees) / Confirmed Bookings,booking,booking_date,inr,not_applicable,Finance,"This is a DIRECT cost per booking, not a fully loaded cost, and must not be presented as one. GOPPAR is uncomputable on this dataset for the same reason: no departmental cost data. Saying so is more useful than publishing a fully-loaded-looking number built on invented overhead."
