aspect_key,review_key,property_key,review_date,category,polarity,severity,confidence,actionable_by,evidence_span,model,rating,language
1,1,2,2025-02-06,amenities,positive,not_applicable,high,none,Tea and coffee supplies were restocked daily,gemini-3.1-flash-lite,4.5,en
2,1,2,2025-02-06,maintenance,negative,moderate,medium,maintenance,Hope they fix it,gemini-3.1-flash-lite,4.5,en
3,2,1,2025-02-04,room_quality,positive,not_applicable,high,none,Room spacious tha aur well maintained,gemini-3.1-flash-lite,5.0,en
4,2,1,2025-02-04,wifi,positive,not_applicable,high,none,wiFi was fast and stable for video calls,gemini-3.1-flash-lite,5.0,en
5,3,1,2025-02-07,cleanliness,positive,not_applicable,high,none,Bathroom was sparkling clean,gemini-3.1-flash-lite,4.5,en
6,3,1,2025-02-07,maintenance,positive,not_applicable,high,none,everything worked exactly as it should,gemini-3.1-flash-lite,4.5,en
7,3,1,2025-02-07,noise,negative,moderate,high,maintenance,could hear everything from the corridor,gemini-3.1-flash-lite,4.5,en
8,4,2,2025-02-06,housekeeping_response,positive,not_applicable,high,none,Daily cleaning was prompt and thorough,gemini-3.1-flash-lite,5.0,en
9,4,2,2025-02-06,wifi,positive,not_applicable,high,none,wiFi was fast and stable for video calls,gemini-3.1-flash-lite,5.0,en
10,5,2,2025-02-13,value,positive,not_applicable,high,none,"Paisa vasool, definitely worth it",gemini-3.1-flash-lite,4.0,en
11,5,2,2025-02-13,wifi,negative,severe,high,tech,internet was too slow to work on,gemini-3.1-flash-lite,4.0,en
12,6,2,2025-02-17,maintenance,positive,not_applicable,high,none,Everything worked exactly as it should,gemini-3.1-flash-lite,5.0,en
13,7,2,2025-02-07,check_in,positive,not_applicable,high,none,Early check-in was arranged without fuss,gemini-3.1-flash-lite,4.0,en
14,7,2,2025-02-07,cleanliness,positive,not_applicable,high,none,ekdum clean tha,gemini-3.1-flash-lite,4.0,en
15,7,2,2025-02-07,check_in,negative,severe,high,tech,the access code did not work and we waited outside,gemini-3.1-flash-lite,4.0,en
16,8,2,2025-02-13,staff,positive,not_applicable,high,none,Staff bahut helpful the,gemini-3.1-flash-lite,5.0,en
17,8,2,2025-02-13,location,positive,not_applicable,high,none,quiet residential street but close to the main road,gemini-3.1-flash-lite,5.0,en
18,9,1,2025-02-23,amenities,positive,not_applicable,high,none,Grocery delivery service was handy,gemini-3.1-flash-lite,5.0,en
19,9,1,2025-02-23,room_quality,positive,not_applicable,high,none,room spacious tha aur well maintained,gemini-3.1-flash-lite,5.0,en
20,10,2,2025-02-10,wifi,positive,not_applicable,high,none,Internet held up fine through a full day of meetings,gemini-3.1-flash-lite,5.0,en
21,11,2,2025-02-20,wifi,positive,not_applicable,high,none,Internet held up fine through a full day of meetings,gemini-3.1-flash-lite,5.0,en
22,11,2,2025-02-20,noise,positive,not_applicable,high,none,"very peaceful, slept well every night",gemini-3.1-flash-lite,5.0,en
23,11,2,2025-02-20,other,negative,moderate,medium,maintenance,Hope they fix it,gemini-3.1-flash-lite,5.0,en
24,12,1,2025-02-28,staff,positive,not_applicable,high,none,Front desk went out of their way for us,gemini-3.1-flash-lite,5.0,en
25,12,1,2025-02-28,check_in,positive,not_applicable,high,none,check-in was quick and painless,gemini-3.1-flash-lite,5.0,en
26,13,1,2025-03-10,wifi,positive,not_applicable,high,none,WiFi was fast and stable for video calls,gemini-3.1-flash-lite,5.0,en
27,13,1,2025-03-10,amenities,positive,not_applicable,high,none,kitchenette had everything we needed,gemini-3.1-flash-lite,5.0,en
28,14,1,2025-02-13,cleanliness,positive,not_applicable,high,none,Bathroom was sparkling clean,gemini-3.1-flash-lite,5.0,en
29,14,1,2025-02-13,room_quality,positive,not_applicable,high,none,apartment is well furnished and spacious,gemini-3.1-flash-lite,5.0,en
30,15,1,2025-02-20,value,positive,not_applicable,high,none,Cheaper than a hotel,gemini-3.1-flash-lite,4.5,en
31,15,1,2025-02-20,room_quality,positive,not_applicable,high,none,far more space,gemini-3.1-flash-lite,4.5,en
32,16,1,2025-02-16,amenities,positive,not_applicable,high,none,Grocery delivery service was handy,gemini-3.1-flash-lite,3.5,en
33,16,1,2025-02-16,check_in,positive,not_applicable,high,none,early check-in was arranged without fuss,gemini-3.1-flash-lite,3.5,en
34,17,2,2025-02-16,cleanliness,positive,not_applicable,high,none,Room was very clean and fresh,gemini-3.1-flash-lite,4.0,en
35,17,2,2025-02-16,wifi,negative,moderate,high,tech,WiFi kept dropping during calls,gemini-3.1-flash-lite,4.0,en
36,18,2,2025-02-18,cleanliness,positive,not_applicable,high,none,Bathroom was sparkling clean,gemini-3.1-flash-lite,5.0,en
37,18,2,2025-02-18,noise,positive,not_applicable,high,none,very peaceful,gemini-3.1-flash-lite,5.0,en
38,19,2,2025-03-06,staff,positive,not_applicable,high,none,The staff were genuinely warm and helpful,gemini-3.1-flash-lite,4.5,en
39,19,2,2025-03-06,noise,positive,not_applicable,high,none,"very peaceful, slept well every night",gemini-3.1-flash-lite,4.5,en
40,20,1,2025-02-19,room_quality,positive,not_applicable,high,none,AC cooled the room quickly,gemini-3.1-flash-lite,4.5,en
41,20,1,2025-02-19,housekeeping_response,negative,moderate,high,housekeeping,we asked for cleaning three times before anyone came,gemini-3.1-flash-lite,4.5,en
42,21,2,2025-02-25,staff,positive,not_applicable,high,none,The staff were genuinely warm and helpful,gemini-3.1-flash-lite,3.5,en
43,21,2,2025-02-25,amenities,negative,moderate,high,maintenance,gym equipment was out of order,gemini-3.1-flash-lite,3.5,en
44,22,1,2025-02-18,amenities,positive,not_applicable,high,none,Free parking made a big difference,gemini-3.1-flash-lite,5.0,en
45,22,1,2025-02-18,food,negative,minor,high,none,"there is no restaurant, which was inconvenient",gemini-3.1-flash-lite,5.0,en
46,23,1,2025-02-23,amenities,positive,not_applicable,high,none,Free parking made a big difference,gemini-3.1-flash-lite,4.5,en
47,23,1,2025-02-23,wifi,positive,not_applicable,high,none,internet held up fine through a full day of meetings,gemini-3.1-flash-lite,4.5,en
48,24,1,2025-02-23,noise,positive,not_applicable,high,none,"Very peaceful, slept well every night",gemini-3.1-flash-lite,4.0,en
49,25,2,2025-02-19,amenities,positive,not_applicable,high,none,Free parking made a big difference,gemini-3.1-flash-lite,4.5,en
50,26,1,2025-03-13,wifi,positive,not_applicable,high,none,WiFi was fast and stable for video calls,gemini-3.1-flash-lite,3.5,en
51,26,1,2025-03-13,cleanliness,positive,not_applicable,high,none,room was very clean and fresh,gemini-3.1-flash-lite,3.5,en
52,26,1,2025-03-13,location,negative,moderate,high,front_office,the approach road is badly lit at night,gemini-3.1-flash-lite,3.5,en
53,27,2,2025-02-26,amenities,positive,not_applicable,high,none,Grocery delivery service was handy,gemini-3.1-flash-lite,5.0,en
54,28,1,2025-02-21,room_quality,positive,not_applicable,high,none,The apartment is well furnished and spacious.,gemini-3.1-flash-lite,5.0,en
55,29,2,2025-02-24,noise,positive,not_applicable,high,none,"Very peaceful, slept well every night.",gemini-3.1-flash-lite,4.5,en
56,29,2,2025-02-24,noise,negative,moderate,high,front_office,construction noise started early every morning.,gemini-3.1-flash-lite,4.5,en
57,30,2,2025-02-23,location,positive,not_applicable,high,none,Very convenient for the tech parks,gemini-3.1-flash-lite,5.0,en
58,31,1,2025-02-22,housekeeping_response,positive,not_applicable,high,none,Housekeeping came within minutes of asking,gemini-3.1-flash-lite,5.0,en
59,31,1,2025-02-22,amenities,positive,not_applicable,high,none,tea and coffee supplies were restocked daily,gemini-3.1-flash-lite,5.0,en
60,32,1,2025-03-02,amenities,positive,not_applicable,high,none,Kitchenette had everything we needed,gemini-3.1-flash-lite,3.5,en
61,33,2,2025-03-03,location,positive,not_applicable,high,none,Very convenient for the tech parks,gemini-3.1-flash-lite,5.0,en
62,33,2,2025-03-03,value,positive,not_applicable,high,none,cheaper than a hotel,gemini-3.1-flash-lite,5.0,en
63,33,2,2025-03-03,room_quality,positive,not_applicable,high,none,far more space,gemini-3.1-flash-lite,5.0,en
64,34,2,2025-03-04,value,positive,not_applicable,high,none,Cheaper than a hotel,gemini-3.1-flash-lite,4.5,en
65,34,2,2025-03-04,room_quality,positive,not_applicable,high,none,far more space,gemini-3.1-flash-lite,4.5,en
66,34,2,2025-03-04,room_quality,positive,not_applicable,high,none,bed was extremely comfortable,gemini-3.1-flash-lite,4.5,en
67,35,2,2025-03-04,cleanliness,positive,not_applicable,high,none,Daily cleaning was prompt and thorough,gemini-3.1-flash-lite,4.0,en
68,35,2,2025-03-04,room_quality,positive,not_applicable,high,none,room spacious tha aur well maintained,gemini-3.1-flash-lite,4.0,en
69,36,1,2025-03-26,wifi,positive,not_applicable,high,none,WiFi was fast and stable for video calls,gemini-3.1-flash-lite,5.0,en
70,36,1,2025-03-26,value,positive,not_applicable,high,none,"paisa vasool, definitely worth it",gemini-3.1-flash-lite,5.0,en
71,37,2,2025-03-05,value,positive,not_applicable,high,none,Excellent value for what you get,gemini-3.1-flash-lite,5.0,en
72,37,2,2025-03-05,amenities,positive,not_applicable,high,none,laundry and gym were a real bonus,gemini-3.1-flash-lite,5.0,en
73,37,2,2025-03-05,check_in,negative,moderate,high,tech,access code did not work and we waited outside,gemini-3.1-flash-lite,5.0,en
74,38,2,2025-03-02,check_in,positive,not_applicable,high,none,check-in was quick and painless,gemini-3.1-flash-lite,5.0,en
75,39,2,2025-03-05,amenities,positive,not_applicable,high,none,Free parking made a big difference,gemini-3.1-flash-lite,5.0,en
76,40,1,2025-03-07,room_quality,positive,not_applicable,high,none,The apartment is well furnished and spacious,gemini-3.1-flash-lite,4.5,en
77,40,1,2025-03-07,wifi,positive,not_applicable,high,none,internet held up fine through a full day of meetings,gemini-3.1-flash-lite,4.5,en
78,41,1,2025-03-10,value,positive,not_applicable,high,none,Excellent value for what you get,gemini-3.1-flash-lite,4.5,en
79,41,1,2025-03-10,location,positive,not_applicable,high,none,"great location, walking distance to everything",gemini-3.1-flash-lite,4.5,en
80,42,1,2025-03-05,location,positive,not_applicable,high,none,"Great location, walking distance to everything",gemini-3.1-flash-lite,4.5,en
81,42,1,2025-03-05,amenities,positive,not_applicable,high,none,free parking made a big difference,gemini-3.1-flash-lite,4.5,en
82,43,1,2025-03-28,location,positive,not_applicable,high,none,Very convenient for the tech parks,gemini-3.1-flash-lite,5.0,en
